match_id,team_name,player_name,K,hs,A,f,D,KAST,KD_diff,ADR,fk_dif,rating
74974, AVANGAR, fitch, 16, 11, 7, 1, 24, 60.0, -8, 85.7, 0, 0.96
74974, AVANGAR, qikert, 17, 7, 1, 1, 18, 70.0, -1, 56.9, -3, 0.95
74974, AVANGAR, KrizzeN, 19, 12, 4, 1, 20, 63.3, -1, 71.6, +1, 0.94
74974, AVANGAR, buster, 16, 7, 1, 0, 17, 56.7, -1, 53.5, -1, 0.91
74974, Imperial, EspiranTo, 26, 21, 4, 1, 17, 66.7, +9, 90.7, +1, 1.42
74974, Imperial, nexa, 22, 10, 4, 1, 18, 80.0, +4, 72.3, +3, 1.16
74974, Imperial, hAdji, 20, 11, 7, 1, 22, 76.7, -2, 76.5, -2, 1.00
74974, Imperial, pounh, 16, 6, 6, 1, 19, 70.0, -3, 64.9, +1, 0.93
74974, Imperial, nukkye, 10, 4, 3, 1, 16, 60.0, -6, 46.1, -3, 0.73
74973, North, valde, 23, 14, 3, 2, 18, 75.0, +5, 128.5, +1, 1.36
74973, North, cadiaN, 9, 2, 4, 0, 15, 60.0, -6, 64.8, -1, 0.78
74973, North, aizy, 12, 4, 5, 2, 16, 65.0, -4, 62.2, +1, 0.73
74973, North, gade, 9, 5, 0, 0, 16, 60.0, -7, 57.0, 0, 0.60
74973, North, Kjaerbye, 8, 6, 2, 0, 18, 70.0, -10, 40.3, -3, 0.50
74973, Astralis, gla1ve, 20, 9, 7, 2, 8, 90.0, +12, 92.2, +1, 1.70
74973, Astralis, Magisk, 16, 12, 5, 1, 15, 95.0, +1, 88.7, +5, 1.44
74973, Astralis, device, 19, 11, 4, 0, 14, 75.0, +5, 99.8, -4, 1.34
74973, Astralis, dupreeh, 16, 10, 1, 0, 12, 75.0, +4, 79.8, +1, 1.31
74973, Astralis, Xyp9x, 12, 4, 5, 2, 12, 90.0, 0, 64.2, -1, 1.14
74971, Astralis, Xyp9x, 26, 15, 9, 3, 7, 94.7, +19, 155.0, +4, 2.35
74971, Astralis, Magisk, 17, 10, 3, 0, 7, 84.2, +10, 90.5, +1, 1.54
74971, Astralis, device, 19, 4, 4, 0, 8, 84.2, +11, 87.2, +2, 1.54
74971, Astralis, dupreeh, 13, 5, 2, 0, 6, 94.7, +7, 65.6, 0, 1.35
74971, Astralis, gla1ve, 11, 6, 9, 4, 9, 94.7, +2, 70.6, +2, 1.30
74971, North, valde, 9, 3, 1, 1, 17, 36.8, -8, 52.3, -1, 0.60
74971, North, cadiaN, 9, 3, 3, 3, 17, 42.1, -8, 47.2, 0, 0.58
74971, North, aizy, 8, 3, 1, 0, 17, 47.4, -9, 52.7, 0, 0.54
74971, North, gade, 6, 6, 3, 0, 17, 52.6, -11, 46.9, -8, 0.43
74971, North, Kjaerbye, 5, 3, 1, 1, 18, 42.1, -13, 47.9, 0, 0.42
78583, OpTic, cajunb, 27, 14, 2, 0, 19, 82.8, +8, 101.2, +3, 1.48
78583, OpTic, k0nfig, 24, 15, 3, 0, 21, 86.2, +3, 86.9, +1, 1.32
78583, OpTic, Snappi, 20, 13, 2, 0, 16, 82.8, +4, 72.0, +1, 1.12
78583, OpTic, JUGi, 17, 2, 2, 0, 13, 79.3, +4, 59.4, +1, 1.09
78583, OpTic, niko, 17, 6, 3, 1, 19, 62.1, -2, 69.6, +1, 0.96
78583, ENCE, xseveN, 19, 8, 4, 0, 23, 79.3, -4, 78.3, +3, 1.01
78583, ENCE, allu, 22, 8, 2, 1, 20, 62.1, +2, 75.9, -1, 0.97
78583, ENCE, Aleksib, 16, 10, 7, 2, 19, 58.6, -3, 70.8, -2, 0.90
78583, ENCE, Aerial, 16, 4, 5, 0, 21, 62.1, -5, 69.9, -3, 0.84
78583, ENCE, sergej, 15, 9, 4, 0, 22, 69.0, -7, 60.8, -4, 0.78
78584, OpTic, niko, 23, 12, 2, 0, 20, 70.4, +3, 86.0, +1, 1.14
78584, OpTic, JUGi, 17, 5, 5, 1, 19, 77.8, -2, 75.4, 0, 1.07
78584, OpTic, cajunb, 19, 5, 1, 0, 19, 63.0, 0, 71.0, +1, 1.02
78584, OpTic, Snappi, 15, 7, 3, 2, 17, 63.0, -2, 53.7, -1, 0.88
78584, OpTic, k0nfig, 13, 8, 3, 0, 23, 55.6, -10, 66.2, -2, 0.70
78584, ENCE, sergej, 26, 16, 6, 0, 18, 70.4, +8, 104.4, 0, 1.41
78584, ENCE, allu, 25, 7, 4, 1, 17, 88.9, +8, 76.5, +5, 1.37
78584, ENCE, Aleksib, 20, 6, 3, 0, 16, 70.4, +4, 74.6, 0, 1.15
78584, ENCE, xseveN, 13, 8, 8, 2, 18, 85.2, -5, 60.7, -1, 0.98
78584, ENCE, Aerial, 14, 7, 5, 0, 18, 74.1, -4, 62.7, -3, 0.86
78587, OpTic, JUGi, 15, 5, 3, 1, 19, 60.0, -4, 68.1, +2, 0.94
78587, OpTic, niko, 14, 8, 7, 2, 22, 64.0, -8, 66.0, +2, 0.84
78587, OpTic, k0nfig, 14, 7, 2, 0, 21, 60.0, -7, 65.3, +1, 0.82
78587, OpTic, Snappi, 16, 13, 1, 1, 21, 48.0, -5, 58.4, -1, 0.79
78587, OpTic, cajunb, 14, 9, 3, 0, 19, 52.0, -5, 70.4, -1, 0.76
78587, ENCE, Aerial, 33, 16, 5, 3, 11, 96.0, +22, 113.7, +2, 1.97
78587, ENCE, Aleksib, 19, 9, 15, 6, 15, 84.0, +4, 88.3, -1, 1.32
78587, ENCE, sergej, 19, 10, 5, 0, 15, 76.0, +4, 93.9, -2, 1.27
78587, ENCE, allu, 17, 3, 7, 1, 17, 76.0, 0, 81.7, +2, 1.18
78587, ENCE, xseveN, 14, 7, 5, 1, 15, 72.0, -1, 53.4, -4, 0.88
78580, Defusekids, v1N, 26, 15, 5, 1, 10, 90.5, +16, 120.6, +1, 1.81
78580, Defusekids, Infernal, 18, 11, 3, 1, 12, 81.0, +6, 72.4, +2, 1.31
